,Location,Salary,Rating,count,county_fips,population
0,Alameda,38905.0,3.45,2,6001,79827
1,Buena Park,59005.0,3.1,1,6059,82228
2,Burbank,44372.666666666664,3.9,3,6037,103411
3,Calabasas,67402.0,3.7,2,6037,23842
4,Carson,58338.0,4.3,2,6037,91354
5,Cathedral City,125620.0,3.7,1,6065,54812
6,Cerritos,80606.0,2.9,1,6037,49388
7,Commerce,62258.0,4.2,1,6037,12738
8,Culver City,73684.0,3.7,1,6037,38913
9,Cupertino,42739.25,4.0,2,6085,59799
10,Dublin,64415.0,3.3,1,6001,63856
11,El Cajon,72500.0,2.7,1,6073,103249
12,Folsom,86248.0,4.3,2,6067,79584
13,Foster City,93038.0,3.9,1,6081,33056
14,Fremont,95879.0,3.7,1,6001,234829
15,Garden Grove,91259.0,3.7,2,6059,172800
16,Irvine,58367.0,3.9,4,6059,272694
17,La Mesa,53022.0,4.2,1,6073,60208
18,Livermore,47040.0,3.9,2,6001,88412
19,Long Beach,68777.0,3.5,1,6037,462081
20,Los Angeles,75183.06444444445,4.01111111111111,18,6037,12531334
21,Marina,79746.0,3.5,2,6053,21966
22,Menlo Park,101381.0,4.3,2,6081,35211
23,Monterey,145000.0,3.5,2,6053,28575
24,Mountain View,90026.85714285714,4.057142857142858,7,6085,80104
25,Newark,110767.5,3.6500000000000004,2,6001,48148
26,Oakland,48732.5,4.0249999999999995,4,6001,422575
27,Oceanside,118080.0,3.9,1,6073,175694
28,Ontario,68483.0,4.4,2,6071,178194
29,Oxnard,68442.0,4.0,2,6111,378990
30,Palo Alto,73263.612,4.08,5,6085,67973
31,Pasadena,68384.0,3.8000000000000003,3,6037,142017
32,Rancho Cordova,40320.0,3.8,1,6067,74394
33,Rancho Cucamonga,73670.4,3.0,1,6071,178060
34,Rocklin,61650.0,4.1,1,6061,67070
35,Rosemead,60103.0,3.6,1,6037,53850
36,Roseville,56253.0,3.9,1,6061,138860
37,Sacramento,70872.2,3.8600000000000003,5,6067,1882358
38,San Diego,75321.25,4.2875,8,6073,3178495
39,San Francisco,77752.0,4.052941176470587,17,6075,3557982
40,San Jose,84108.5,3.7,5,6085,1797166
41,San Mateo,48960.0,3.9,1,6081,103619
42,Santa Ana,39455.0,3.6333333333333333,3,6059,332610
43,Santa Fe Springs,46080.0,3.2,1,6037,17643
44,Santa Monica,78968.33333333333,3.6666666666666665,3,6037,91600
45,Saratoga,135627.0,3.7,1,6085,31084
46,Seaside,159100.0,3.6,2,6053,116189
47,Sunnyvale,27804.666666666668,3.6666666666666665,3,6085,152569
48,Temecula,100800.0,4.3,1,6065,113117
49,Torrance,42240.0,3.1,2,6037,144430
50,Walnut Creek,141600.0,4.1,1,6013,69836
